"","date","humidity","temperature","pm1.0_atm","pm1.0_atm_a","pm1.0_atm_b","pm2.5_atm","pm2.5_atm_a","pm2.5_atm_b","pm2.5_cf_1","pm2.5_cf_1_a","pm2.5_cf_1_b","sensor_id","PM2.5"
"1","2023-10-19 14:00:00",65.7777777777778,18.8888888888889,1.56555555555556,1.74777777777778,1.38333333333333,3.02611111111111,3.21666666666667,2.83555555555556,3.02611111111111,3.21666666666667,2.83555555555556,"Dona_Suzana_outdoor",1.66563777777778
"2","2023-10-19 15:00:00",67.5333333333333,18.3333333333333,2.1765,2.39633333333333,1.95666666666667,3.46666666666667,3.68066666666667,3.25266666666667,3.46666666666667,3.68066666666667,3.25266666666667,"Dona_Suzana_outdoor",1.74516
"3","2023-10-19 16:00:00",72.6333333333333,17.2037037037037,8.454,8.82366666666667,8.08433333333333,14.5446666666667,14.8793333333333,14.21,16.7625,17.1453333333333,16.3796666666667,"Dona_Suzana_outdoor",8.27255666666667
"4","2023-10-19 17:00:00",71.7241379310345,17.27969348659,3.63068965517241,3.92655172413793,3.3348275862069,5.94258620689655,6.20379310344828,5.68137931034483,6.39068965517241,6.68620689655172,6.0951724137931,"Dona_Suzana_outdoor",2.91610068965517
"5","2023-10-19 18:00:00",72.8,16.4814814814815,10.5358333333333,10.7893333333333,10.2823333333333,18.5535,18.7613333333333,18.3456666666667,23.1171666666667,23.3153333333333,22.919,"Dona_Suzana_outdoor",11.5880353333333
"6","2023-10-19 19:00:00",74.4666666666667,15.8888888888889,3.11116666666667,3.24533333333333,2.977,5.29183333333333,5.56133333333333,5.02233333333333,5.29916666666667,5.57166666666667,5.02666666666667,"Dona_Suzana_outdoor",2.10773666666667
"7","2023-10-19 20:00:00",74.0666666666667,15.9444444444444,3.53233333333333,3.74333333333333,3.32133333333333,6.8925,7.11233333333333,6.67266666666667,7.5755,7.82233333333333,7.32866666666667,"Dona_Suzana_outdoor",3.33501533333333
"8","2023-10-19 21:00:00",73.6666666666667,15.8518518518519,1.66216666666667,1.715,1.60933333333333,3.60833333333333,3.66533333333333,3.55133333333333,3.91083333333333,3.96566666666667,3.856,"Dona_Suzana_outdoor",1.44921
"9","2023-10-19 22:00:00",73.6333333333333,16.1111111111111,1.204,1.32033333333333,1.08766666666667,2.73,2.83633333333333,2.62366666666667,2.85233333333333,2.95066666666667,2.754,"Dona_Suzana_outdoor",0.897429333333333
"10","2023-10-19 23:00:00",73.5333333333333,16.1111111111111,0.556166666666667,0.635,0.477333333333333,1.15633333333333,1.25366666666667,1.059,1.15633333333333,1.25366666666667,1.059,"Dona_Suzana_outdoor",0.0173453333333333
"11","2023-10-20",74,16.1111111111111,0.0131666666666667,0.0106666666666667,0.0156666666666667,0.178,0.183,0.173,0.178,0.183,0.173,"Dona_Suzana_outdoor",-0.535528
"12","2023-10-20 01:00:00",74.3666666666667,16.1111111111111,0.421833333333333,0.489,0.354666666666667,1.0935,1.20333333333333,0.983666666666667,1.0935,1.20333333333333,0.983666666666667,"Dona_Suzana_outdoor",-0.0874126666666666
"13","2023-10-20 02:00:00",75.8666666666667,15.9444444444444,0.405,0.428666666666667,0.381333333333333,1.73783333333333,1.812,1.66366666666667,1.73783333333333,1.812,1.66366666666667,"Dona_Suzana_outdoor",0.120918
"14","2023-10-20 03:00:00",76.1666666666667,15.7962962962963,0.835833333333333,0.899333333333333,0.772333333333333,2.79016666666667,2.89166666666667,2.68866666666667,2.79016666666667,2.89166666666667,2.68866666666667,"Dona_Suzana_outdoor",0.646480666666667
"15","2023-10-20 04:00:00",75.9,15.9444444444444,0.665833333333333,0.724666666666667,0.607,1.9415,2.10966666666667,1.77333333333333,1.9415,2.10966666666667,1.77333333333333,"Dona_Suzana_outdoor",0.224766
"16","2023-10-20 05:00:00",75.2,16.0925925925926,0.531333333333333,0.577666666666667,0.485,1.48433333333333,1.55666666666667,1.412,1.48433333333333,1.55666666666667,1.412,"Dona_Suzana_outdoor",0.0455506666666669
"17","2023-10-20 06:00:00",74.2333333333333,16.1111111111111,0.654,0.778333333333333,0.529666666666667,1.285,1.50533333333333,1.06466666666667,1.285,1.50533333333333,1.06466666666667,"Dona_Suzana_outdoor",0.0244266666666667
"18","2023-10-20 07:00:00",73.4,16.6666666666667,0.140666666666667,0.163666666666667,0.117666666666667,0.513333333333333,0.513666666666667,0.513,0.513333333333333,0.513666666666667,0.513,"Dona_Suzana_outdoor",-0.308093333333333
"19","2023-10-20 08:00:00",69.7,17.7777777777778,0.1115,0.135333333333333,0.0876666666666667,0.3765,0.439,0.314,0.3765,0.439,0.314,"Dona_Suzana_outdoor",-0.0608539999999999
"20","2023-10-20 09:00:00",65.1333333333333,19.1851851851852,2.00266666666667,2.11366666666667,1.89166666666667,3.525,3.714,3.336,3.525,3.714,3.336,"Dona_Suzana_outdoor",1.98260666666667
"21","2023-10-20 10:00:00",61.2,20.7592592592593,4.05133333333333,4.22933333333333,3.87333333333333,6.2575,6.45466666666667,6.06033333333333,6.52816666666667,6.719,6.33733333333333,"Dona_Suzana_outdoor",3.89531933333333
"22","2023-10-20 11:00:00",57.8333333333333,21.8888888888889,1.81633333333333,1.99066666666667,1.642,2.84716666666667,3.08533333333333,2.609,2.84716666666667,3.08533333333333,2.609,"Dona_Suzana_outdoor",2.256682
"23","2023-10-20 12:00:00",58.8666666666667,21.5185185185185,2.85883333333333,3.04333333333333,2.67433333333333,4.59383333333333,4.75866666666667,4.429,4.6575,4.81766666666667,4.49733333333333,"Dona_Suzana_outdoor",3.11622333333333
